year,city,country,avg_temp
1828,Portland,United States,9.38
1829,Portland,United States,9.11
1830,Portland,United States,
1831,Portland,United States,
1832,Portland,United States,6.25
1833,Portland,United States,9.69
1834,Portland,United States,9.35
1835,Portland,United States,7.96
1836,Portland,United States,9.01
1837,Portland,United States,9.05
1838,Portland,United States,8.86
1839,Portland,United States,9.46
1840,Portland,United States,8.96
1841,Portland,United States,9.05
1842,Portland,United States,9.14
1843,Portland,United States,8.92
1844,Portland,United States,8.74
1845,Portland,United States,9.15
1846,Portland,United States,
1847,Portland,United States,10.96
1848,Portland,United States,8.92
1849,Portland,United States,9.05
1850,Portland,United States,9.32
1851,Portland,United States,10.02
1852,Portland,United States,9.31
1853,Portland,United States,9.93
1854,Portland,United States,9.23
1855,Portland,United States,9.62
1856,Portland,United States,9.63
1857,Portland,United States,10.13
1858,Portland,United States,9.31
1859,Portland,United States,8.66
1860,Portland,United States,9.77
1861,Portland,United States,9.55
1862,Portland,United States,8.73
1863,Portland,United States,9.83
1864,Portland,United States,10.00
1865,Portland,United States,9.32
1866,Portland,United States,9.76
1867,Portland,United States,9.40
1868,Portland,United States,9.17
1869,Portland,United States,10.53
1870,Portland,United States,10.06
1871,Portland,United States,10.13
1872,Portland,United States,9.74
1873,Portland,United States,9.71
1874,Portland,United States,9.61
1875,Portland,United States,9.58
1876,Portland,United States,9.51
1877,Portland,United States,10.25
1878,Portland,United States,9.86
1879,Portland,United States,9.10
1880,Portland,United States,8.32
1881,Portland,United States,9.35
1882,Portland,United States,9.16
1883,Portland,United States,9.34
1884,Portland,United States,9.34
1885,Portland,United States,10.91
1886,Portland,United States,10.09
1887,Portland,United States,9.22
1888,Portland,United States,10.05
1889,Portland,United States,10.63
1890,Portland,United States,9.20
1891,Portland,United States,9.94
1892,Portland,United States,9.61
1893,Portland,United States,8.37
1894,Portland,United States,9.15
1895,Portland,United States,9.37
1896,Portland,United States,9.54
1897,Portland,United States,9.81
1898,Portland,United States,9.65
1899,Portland,United States,9.31
1900,Portland,United States,10.07
1901,Portland,United States,9.36
1902,Portland,United States,9.42
1903,Portland,United States,9.29
1904,Portland,United States,9.90
1905,Portland,United States,9.82
1906,Portland,United States,10.18
1907,Portland,United States,10.00
1908,Portland,United States,9.69
1909,Portland,United States,8.95
1910,Portland,United States,9.55
1911,Portland,United States,9.00
1912,Portland,United States,9.67
1913,Portland,United States,9.29
1914,Portland,United States,10.02
1915,Portland,United States,10.24
1916,Portland,United States,8.59
1917,Portland,United States,9.54
1918,Portland,United States,10.06
1919,Portland,United States,9.20
1920,Portland,United States,9.16
1921,Portland,United States,9.50
1922,Portland,United States,8.83
1923,Portland,United States,9.85
1924,Portland,United States,9.58
1925,Portland,United States,10.38
1926,Portland,United States,10.90
1927,Portland,United States,9.46
1928,Portland,United States,9.86
1929,Portland,United States,9.27
1930,Portland,United States,9.38
1931,Portland,United States,10.36
1932,Portland,United States,9.71
1933,Portland,United States,9.40
1934,Portland,United States,11.41
1935,Portland,United States,9.57
1936,Portland,United States,10.05
1937,Portland,United States,9.70
1938,Portland,United States,9.97
1939,Portland,United States,10.32
1940,Portland,United States,10.88
1941,Portland,United States,10.90
1942,Portland,United States,10.19
1943,Portland,United States,9.78
1944,Portland,United States,9.98
1945,Portland,United States,9.84
1946,Portland,United States,9.67
1947,Portland,United States,10.39
1948,Portland,United States,9.03
1949,Portland,United States,9.31
1950,Portland,United States,9.33
1951,Portland,United States,9.63
1952,Portland,United States,9.70
1953,Portland,United States,10.31
1954,Portland,United States,9.51
1955,Portland,United States,8.71
1956,Portland,United States,9.52
1957,Portland,United States,9.93
1958,Portland,United States,11.43
1959,Portland,United States,9.93
1960,Portland,United States,9.72
1961,Portland,United States,10.31
1962,Portland,United States,9.74
1963,Portland,United States,10.07
1964,Portland,United States,9.20
1965,Portland,United States,10.07
1966,Portland,United States,10.16
1967,Portland,United States,10.48
1968,Portland,United States,10.07
1969,Portland,United States,9.72
1970,Portland,United States,9.82
1971,Portland,United States,9.33
1972,Portland,United States,9.65
1973,Portland,United States,9.86
1974,Portland,United States,9.97
1975,Portland,United States,9.48
1976,Portland,United States,9.73
1977,Portland,United States,9.87
1978,Portland,United States,10.10
1979,Portland,United States,10.24
1980,Portland,United States,9.95
1981,Portland,United States,10.51
1982,Portland,United States,9.66
1983,Portland,United States,10.37
1984,Portland,United States,9.80
1985,Portland,United States,8.96
1986,Portland,United States,10.55
1987,Portland,United States,10.70
1988,Portland,United States,10.24
1989,Portland,United States,10.06
1990,Portland,United States,10.27
1991,Portland,United States,10.31
1992,Portland,United States,11.28
1993,Portland,United States,9.90
1994,Portland,United States,10.37
1995,Portland,United States,10.96
1996,Portland,United States,10.11
1997,Portland,United States,10.76
1998,Portland,United States,10.79
1999,Portland,United States,10.16
2000,Portland,United States,10.11
2001,Portland,United States,10.15
2002,Portland,United States,10.37
2003,Portland,United States,10.99
2004,Portland,United States,11.13
2005,Portland,United States,10.62
2006,Portland,United States,10.51
2007,Portland,United States,10.17
2008,Portland,United States,9.80
2009,Portland,United States,10.14
2010,Portland,United States,10.50
2011,Portland,United States,9.67
2012,Portland,United States,10.25
2013,Portland,United States,11.74
